time,value
"2020-01-02T09:00:00.000Z",46.0617
"2020-01-02T09:15:00.000Z",73.2601
"2020-01-02T09:30:00.000Z",102.2132
"2020-01-02T09:45:00.000Z",109.2321
"2020-01-02T10:00:00.000Z",72.8214
"2020-01-02T10:15:00.000Z",109.2321
"2020-01-02T10:30:00.000Z",146.0815
"2020-01-02T10:45:00.000Z",163.1901
"2020-01-02T11:00:00.000Z",160.9967
"2020-01-02T11:15:00.000Z",134.6757
"2020-01-02T11:30:00.000Z",133.7983
"2020-01-02T11:45:00.000Z",186.0016
"2020-01-02T12:00:00.000Z",284.7053
"2020-01-02T12:15:00.000Z",593.0995
"2020-01-02T12:30:00.000Z",355.772
"2020-01-02T12:45:00.000Z",423.3292
"2020-01-02T13:00:00.000Z",447.0181
"2020-01-02T13:15:00.000Z",419.381
"2020-01-02T13:30:00.000Z",373.758
"2020-01-02T13:45:00.000Z",260.1391
"2020-01-02T14:00:00.000Z",382.093
"2020-01-02T14:15:00.000Z",332.5218
"2020-01-02T14:30:00.000Z",303.13
"2020-01-02T14:45:00.000Z",273.7382
"2020-01-02T15:00:00.000Z",252.6815
"2020-01-02T15:15:00.000Z",212.7613
"2020-01-02T15:30:00.000Z",175.0345
"2020-01-02T15:45:00.000Z",139.9399
"2020-01-02T16:00:00.000Z",103.9679
"2020-01-02T16:15:00.000Z",70.628
"2020-01-02T16:30:00.000Z",47.8165
"2020-01-02T16:45:00.000Z",26.321
"2020-01-02T17:00:00.000Z",13.1605
"2020-01-02T17:15:00.000Z",0
"2020-01-02T17:30:00.000Z",0
"2020-01-02T17:45:00.000Z",0
"2020-01-02T18:00:00.000Z",0
"2020-01-02T18:15:00.000Z",0
"2020-01-02T18:30:00.000Z",0
"2020-01-02T18:45:00.000Z",0
"2020-01-02T19:00:00.000Z",0
"2020-01-02T19:15:00.000Z",0
"2020-01-02T19:30:00.000Z",0
"2020-01-02T19:45:00.000Z",0
"2020-01-02T20:00:00.000Z",0
"2020-01-02T20:15:00.000Z",0
"2020-01-02T20:30:00.000Z",0
"2020-01-02T20:45:00.000Z",0
"2020-01-02T21:00:00.000Z",0
"2020-01-02T21:15:00.000Z",0
"2020-01-02T21:30:00.000Z",0
"2020-01-02T21:45:00.000Z",0
"2020-01-02T22:00:00.000Z",0
"2020-01-02T22:15:00.000Z",0
"2020-01-02T22:30:00.000Z",0
"2020-01-02T22:45:00.000Z",0
"2020-01-02T23:00:00.000Z",0
"2020-01-02T23:15:00.000Z",0
"2020-01-02T23:30:00.000Z",0
"2020-01-02T23:45:00.000Z",0
"2020-01-03T00:00:00.000Z",0
"2020-01-03T00:15:00.000Z",0
"2020-01-03T00:30:00.000Z",0
"2020-01-03T00:45:00.000Z",0
"2020-01-03T01:00:00.000Z",0
"2020-01-03T01:15:00.000Z",0
"2020-01-03T01:30:00.000Z",0
"2020-01-03T01:45:00.000Z",0
"2020-01-03T02:00:00.000Z",0
"2020-01-03T02:15:00.000Z",0
"2020-01-03T02:30:00.000Z",0
"2020-01-03T02:45:00.000Z",0
"2020-01-03T03:00:00.000Z",0
"2020-01-03T03:15:00.000Z",0
"2020-01-03T03:30:00.000Z",0
"2020-01-03T03:45:00.000Z",0
"2020-01-03T04:00:00.000Z",0
"2020-01-03T04:15:00.000Z",0
"2020-01-03T04:30:00.000Z",0
"2020-01-03T04:45:00.000Z",0
"2020-01-03T05:00:00.000Z",0
"2020-01-03T05:15:00.000Z",0
"2020-01-03T05:30:00.000Z",0
"2020-01-03T05:45:00.000Z",0
"2020-01-03T06:00:00.000Z",0
"2020-01-03T06:15:00.000Z",0
"2020-01-03T06:30:00.000Z",0
"2020-01-03T06:45:00.000Z",0
"2020-01-03T07:00:00.000Z",0
"2020-01-03T07:15:00.000Z",0.8774
"2020-01-03T07:30:00.000Z",13.5992
"2020-01-03T07:45:00.000Z",21.9342
"2020-01-03T08:00:00.000Z",40.7975
"2020-01-03T08:15:00.000Z",38.6041
"2020-01-03T08:30:00.000Z",75.8922
"2020-01-03T08:45:00.000Z",87.7366
"2020-01-03T09:00:00.000Z",92.5621
"2020-01-03T09:15:00.000Z",109.2321
"2020-01-03T09:30:00.000Z",119.3218
"2020-01-03T09:45:00.000Z",114.0576
"2020-01-03T10:00:00.000Z",109.2321
"2020-01-03T10:15:00.000Z",142.1333
"2020-01-03T10:30:00.000Z",163.1901
"2020-01-03T10:45:00.000Z",200.9168
"2020-01-03T11:00:00.000Z",188.195
"2020-01-03T11:15:00.000Z",170.209
"2020-01-03T11:30:00.000Z",174.5959
"2020-01-03T11:45:00.000Z",212.3226
"2020-01-03T12:00:00.000Z",207.9358
"2020-01-03T12:15:00.000Z",202.2329
"2020-01-03T12:30:00.000Z",271.5448
"2020-01-03T12:45:00.000Z",326.3802
"2020-01-03T13:00:00.000Z",424.6452
"2020-01-03T13:15:00.000Z",293.479
"2020-01-03T13:30:00.000Z",346.9983
"2020-01-03T13:45:00.000Z",295.2337
"2020-01-03T14:00:00.000Z",327.2576
"2020-01-03T14:15:00.000Z",276.809
"2020-01-03T14:30:00.000Z",301.3753
"2020-01-03T14:45:00.000Z",267.158
"2020-01-03T15:00:00.000Z",246.5399
"2020-01-03T15:15:00.000Z",211.4452
"2020-01-03T15:30:00.000Z",219.3415
"2020-01-03T15:45:00.000Z",178.1053
"2020-01-03T16:00:00.000Z",133.7983
"2020-01-03T16:15:00.000Z",93.4395
"2020-01-03T16:30:00.000Z",71.5053
"2020-01-03T16:45:00.000Z",13.1605
"2020-01-03T17:00:00.000Z",12.2831
"2020-01-03T17:15:00.000Z",0
"2020-01-03T17:30:00.000Z",0
"2020-01-03T17:45:00.000Z",0
"2020-01-03T18:00:00.000Z",0
"2020-01-03T18:15:00.000Z",0
"2020-01-03T18:30:00.000Z",0
"2020-01-03T18:45:00.000Z",0
"2020-01-03T19:00:00.000Z",0
"2020-01-03T19:15:00.000Z",0
"2020-01-03T19:30:00.000Z",0
"2020-01-03T19:45:00.000Z",0
"2020-01-03T20:00:00.000Z",0
"2020-01-03T20:15:00.000Z",0
"2020-01-03T20:30:00.000Z",0
"2020-01-03T20:45:00.000Z",0
"2020-01-03T21:00:00.000Z",0
"2020-01-03T21:15:00.000Z",0
"2020-01-03T21:30:00.000Z",0
"2020-01-03T21:45:00.000Z",0
"2020-01-03T22:00:00.000Z",0
"2020-01-03T22:15:00.000Z",0
"2020-01-03T22:30:00.000Z",0
"2020-01-03T22:45:00.000Z",0
"2020-01-03T23:00:00.000Z",0
"2020-01-03T23:15:00.000Z",0
"2020-01-03T23:30:00.000Z",0
"2020-01-03T23:45:00.000Z",0
"2020-01-04T00:00:00.000Z",0
"2020-01-04T00:15:00.000Z",0
"2020-01-04T00:30:00.000Z",0
"2020-01-04T00:45:00.000Z",0
"2020-01-04T01:00:00.000Z",0
"2020-01-04T01:15:00.000Z",0
"2020-01-04T01:30:00.000Z",0
"2020-01-04T01:45:00.000Z",0
"2020-01-04T02:00:00.000Z",0
"2020-01-04T02:15:00.000Z",0
"2020-01-04T02:30:00.000Z",0
"2020-01-04T02:45:00.000Z",0
"2020-01-04T03:00:00.000Z",0
"2020-01-04T03:15:00.000Z",0
"2020-01-04T03:30:00.000Z",0
"2020-01-04T03:45:00.000Z",0
"2020-01-04T04:00:00.000Z",0
"2020-01-04T04:15:00.000Z",0
"2020-01-04T04:30:00.000Z",0
"2020-01-04T04:45:00.000Z",0
"2020-01-04T05:00:00.000Z",0
"2020-01-04T05:15:00.000Z",0
"2020-01-04T05:30:00.000Z",0
"2020-01-04T05:45:00.000Z",0
"2020-01-04T06:00:00.000Z",0
"2020-01-04T06:15:00.000Z",0
"2020-01-04T06:30:00.000Z",0
"2020-01-04T06:45:00.000Z",0
"2020-01-04T07:00:00.000Z",0
"2020-01-04T07:15:00.000Z",3.5095
"2020-01-04T07:30:00.000Z",6.5802
"2020-01-04T07:45:00.000Z",19.7407
"2020-01-04T08:00:00.000Z",38.6041
"2020-01-04T08:15:00.000Z",39.0428
"2020-01-04T08:30:00.000Z",42.1136
"2020-01-04T08:45:00.000Z",76.3309
"2020-01-04T09:00:00.000Z",199.6008
"2020-01-04T09:15:00.000Z",264.9646
"2020-01-04T09:30:00.000Z",337.786
"2020-01-04T09:45:00.000Z",136.8691
"2020-01-04T10:00:00.000Z",293.9177
"2020-01-04T10:15:00.000Z",152.6617
"2020-01-04T10:30:00.000Z",386.4798
"2020-01-04T10:45:00.000Z",266.7193
"2020-01-04T11:00:00.000Z",291.7242
"2020-01-04T11:15:00.000Z",444.8246
"2020-01-04T11:30:00.000Z",358.4041
"2020-01-04T11:45:00.000Z",311.465
"2020-01-04T12:00:00.000Z",507.995
"2020-01-04T12:15:00.000Z",499.66
"2020-01-04T12:30:00.000Z",418.065
"2020-01-04T12:45:00.000Z",441.7539
"2020-01-04T13:00:00.000Z",436.051
"2020-01-04T13:15:00.000Z",417.6263
"2020-01-04T13:30:00.000Z",423.3292
"2020-01-04T13:45:00.000Z",368.4938
"2020-01-04T14:00:00.000Z",320.2386
"2020-01-04T14:15:00.000Z",362.7909
"2020-01-04T14:30:00.000Z",329.451
"2020-01-04T14:45:00.000Z",196.0913
"2020-01-04T15:00:00.000Z",277.2477
"2020-01-04T15:15:00.000Z",252.6815
"2020-01-04T15:30:00.000Z",185.5629
